"scenario","variable","nutrient","quan_25","median","quan_75","share_neg","share_zero"
"PS","wastewater_direct_discharge","N",949.90375,970.062,989.94925,0,0
"PS","wastewater_direct_discharge","P",131.358,134.1645,136.9315,0,0
"PS","wastewater_effluent_gaseous_losses","K",819.831,855.1615,890.1505,0,0
"PS","wastewater_effluent_gaseous_losses","N",1311.649,1470.005,1621.02175,0,0
"PS","wastewater_effluent_gaseous_losses","P",18.80475,20.985,23.167,0,0
"LBS","animal_balance","K",0.002,0.005,0.007,0.0578,0.0438
"LBS","animal_balance","N",0.03,0.058,0.088,0.0711,0.0039
"LBS","animal_balance","P",0.008,0.014,0.022,0.0644,0.0149
"LBS","animal_housing_and_storage_losses","K",0,0,0,0,1
"LBS","animal_housing_and_storage_losses","N",1064.4405,1181.7485,1298.4905,0,0
"LBS","animal_housing_and_storage_losses","P",0,0,0,0,1
"LBS","compost_to_consumption","K",39.963,43.414,46.88225,0,0
"LBS","compost_to_consumption","N",78.035,84.948,91.74125,0,0
"LBS","compost_to_consumption","P",13.62575,14.832,16.02,0,0
"LBS","crop_cultivation_losses","K",827.36125,1509.636,2209.29725,0,0.06
"LBS","crop_cultivation_losses","N",1862.57125,2522.9475,3195.5125,0,0.0051
"LBS","crop_cultivation_losses","P",178.13725,333.843,489.93525,0,0.0699
"LBS","digestate","K",1460.95,2020.741,2673.57125,0,0.0061
"LBS","digestate","N",1481.1325,1796.418,2179.611,0,0
"LBS","digestate","P",431.30425,556.7875,709.68275,0,1e-04
"LBS","egg_and_dairy","K",285.7355,315.02,344.5825,0,0
"LBS","egg_and_dairy","N",984.204,1083.3205,1183.46525,0,0
"LBS","egg_and_dairy","P",170.47875,187.9465,205.439,0,0
"LBS","export_dairy_egg","K",226.552,255.6735,285.47875,0,0
"LBS","export_dairy_egg","N",436.549,538.758,640.16225,0,0.004
"LBS","export_dairy_egg","P",90.1775,107.7775,125.2695,0,5e-04
"LBS","export_meat","K",0,0,0,0,0.8925
"LBS","export_meat","N",0,0,60.20225,0,0.6345
"LBS","export_meat","P",107.55425,130.693,155.356,0,0
"LBS","export_vegetable","K",591.60075,784.033,997.20025,0,0
"LBS","export_vegetable","N",842.10575,1444.243,2153.95175,0,1e-04
"LBS","export_vegetable","P",309.72675,403.3035,525.535,0,0
"LBS","feed_crops","K",492.735,613.4495,658.75375,0,0.0231
"LBS","feed_crops","N",3854.746,4403.2395,4461.246,0,0.0053
"LBS","feed_crops","P",264.9315,364.7795,393.298,0,0.0426
"LBS","feed_from_processed_crops","K",0,14.586,171.8635,0,0.4749
"LBS","feed_from_processed_crops","N",0,55.7745,656.00975,0,0.4749
"LBS","feed_from_processed_crops","P",0,11.2325,134.09325,0,0.4749
"LBS","food_and_feed_crops","K",942.0225,1013.473,1148.3345,0,0
"LBS","food_and_feed_crops","N",1794.84425,2228.2775,2712.58725,0,0
"LBS","food_and_feed_crops","P",462.33625,528.0505,598.2605,0,0
"LBS","fresh_compost_crop","K",43.5625,46.961,50.6235,0,0
"LBS","fresh_compost_crop","N",73.79,79.5175,85.6615,0,0
"LBS","fresh_compost_crop","P",11.80075,12.7415,13.711,0,0
"LBS","fresh_compost_export","K",99.56175,107.356,115.65975,0,0
"LBS","fresh_compost_export","N",168.6225,181.792,195.7645,0,0
"LBS","fresh_compost_export","P",27.003,29.096,31.343,0,0
"LBS","fruit_and_vegetable","K",203.16375,203.709,204.256,0,0
"LBS","fruit_and_vegetable","N",177.933,178.3495,178.74725,0,0
"LBS","fruit_and_vegetable","P",28.939,29.007,29.079,0,0
"LBS","grassbased_feed","K",3546.796,3739.155,3933.23775,0,0
"LBS","grassbased_feed","N",3918.21775,4072.5445,4235.20975,0,0
"LBS","grassbased_feed","P",620.7695,655.322,689.589,0,0
"LBS","import_animal_products","K",25.8125,36.136,46.16825,0,0
"LBS","import_animal_products","N",120.8405,181.333,295.199,0,0
"LBS","import_animal_products","P",15.944,16.6125,17.31325,0,0
"LBS","import_dairy_egg","K",0,0,0,0,1
"LBS","import_dairy_egg","N",0,0,0,0,0.996
"LBS","import_dairy_egg","P",0,0,0,0,0.9995
"LBS","import_inorganic_fertilizer","K",10.4445,807.757,1611.28375,0.2459,0
"LBS","import_inorganic_fertilizer","N",6206.57275,7130.6265,8061.60225,0,0
"LBS","import_inorganic_fertilizer","P",386.036,557.4635,728.02025,0.0159,0
"LBS","import_meat","K",9.136,19.4065,29.479,0,0.1075
"LBS","import_meat","N",0,63.1385,178.03825,0,0.3655
"LBS","import_meat","P",0,0,0,0,1
"LBS","import_OFMSW","K",88.91275,97.64,106.4575,0,0
"LBS","import_OFMSW","N",170.5805,184.447,198.992,0,0
"LBS","import_OFMSW","P",22.21275,26.5695,31.21125,0,0
"LBS","import_organic_fertilizer","K",1868.36975,2073.162,2279.24375,0,0
"LBS","import_organic_fertilizer","N",2203.7795,2430.3025,2657.58275,0,0
"LBS","import_organic_fertilizer","P",481.08575,529.2395,579.03875,0,0
"LBS","import_organic_K_nonanim","l",1452.43925,1515.125,1576.1445,0,0
"LBS","import_organic_N_nonanim","l",1736.92975,1772.875,1808.55725,0,0
"LBS","import_organic_P_nonanim","l",378.25,386.409,394.2115,0,0
"LBS","import_processed_feed","K",0,0,0,0,1
"LBS","import_processed_feed","N",0,0,0,0,1
"LBS","import_processed_feed","P",0,0,0,0,1
"LBS","imported_vegetal_products","K",88.227,90.571,92.992,0,0
"LBS","imported_vegetal_products","N",196.24375,200.304,204.40625,0,0
"LBS","imported_vegetal_products","P",19.017,19.603,20.205,0,0
"LBS","local_animal_products_consumed","K",120.20925,129.2695,138.3785,0,0
"LBS","local_animal_products_consumed","N",1327.6595,1431.71,1490.0635,0,0
"LBS","local_animal_products_consumed","P",127.5165,130.5845,133.613,0,0
