description,variable,unit,lower,median,upper,distribution,subsystem,,version
,N_content_horse,gr N / 100 gram product,2.55000,3.00000,3.45000,posnorm,animal,,unchanged
margarine,consume_margarine,kg / person / year,2.43000,2.70000,2.97000,posnorm,consumption,,unchanged
,N_content_fish,g N / 100 gram product,2.40300,2.67000,2.93700,posnorm,consumption,,unchanged
,N_content_male_cattle,gr N / 100 gram product,2.29500,2.70000,3.10500,posnorm,animal,,unchanged
,N_content_sheep,gr N / 100 gram product,2.21000,2.60000,2.99000,posnorm,animal,,unchanged
,N_content_pig,gr N / 100 gram product,2.17600,2.56000,2.94400,posnorm,animal,,unchanged
,N_content_offal,g N / 100 gram product,2.14200,2.38000,2.61800,posnorm,consumption,,unchanged
,N_content_female_cattle,gr N / 100 gram product,2.12500,2.50000,2.87500,posnorm,animal,,unchanged
,N_content_coffee,g N / 100 gram product,2.01600,2.24000,2.46400,posnorm,consumption,,unchanged
,K_leftover_foder_peas,kg K / FM dt,1.94400,2.16000,2.37600,posnorm,crop,no,unchanged
,K_leftover_beans,kg K / FM dt,1.94400,2.16000,2.37600,posnorm,crop,no,unchanged
,K_leftover_oilseed_rape,kg K / FM dt,1.87200,2.08000,2.28800,posnorm,crop,no,unchanged
,slaughter_weight_poultry,kg,1.80000,2.00000,2.20000,posnorm,animal,,unchanged
gr N / 100 gram product,N_content_egg,gr N / 100 gram product,1.70000,2.00000,2.30000,posnorm,animal,no,unchanged
livestock density,livestock_density,LU per ha,1.66500,1.85000,2.03500,posnorm,crop,,unchanged
Winter wheat,N_yield_winter_weat,kg N / FM dt,1.57500,1.75000,1.92500,posnorm,crop,no,unchanged
Summer wheat,N_yield_summer_weat,kg N / FM dt,1.57500,1.75000,1.92500,posnorm,crop,no,unchanged
,P_content_horse,g P2O5 / 100 g,1.56600,1.74000,1.91400,posnorm,animal,,unchanged
Winter barley,N_yield_winter_barley,kg N / FM dt,1.54800,1.72000,1.89200,posnorm,crop,no,unchanged
Summer barley,N_yield_summer_barley,kg N / FM dt,1.54800,1.72000,1.89200,posnorm,crop,no,unchanged
Triticale,N_yield_triticale,kg N / FM dt,1.54800,1.72000,1.89200,posnorm,crop,no,unchanged
condensed milk (product weight),consume_condensed_milk,kg / person / year,1.53000,1.70000,1.87000,posnorm,consumption,,unchanged
,N_content_wheat,g N / 100 gram product,1.53000,1.70000,1.87000,posnorm,consumption,,unchanged
,K_content_coffee,g K / 100 gram product,1.48770,1.65300,1.81830,posnorm,consumption,no,unchanged
Rye,N_yield_rye,kg N / FM dt,1.42200,1.58000,1.73800,posnorm,crop,no,unchanged
Oat,N_yield_oat,kg N / FM dt,1.42200,1.58000,1.73800,posnorm,crop,no,unchanged
Fodder peas,N_leftover_foder_peas,kg N / FM dt,1.35000,1.50000,1.65000,posnorm,crop,no,unchanged
Beans,N_leftover_beans,kg N / FM dt,1.35000,1.50000,1.65000,posnorm,crop,no,unchanged
,P_content_male_cattle,g P2O5 / 100 g,1.34100,1.49000,1.63900,posnorm,animal,,unchanged
,K_content_black_tea,g K / 100 gram product,1.34100,1.49000,1.63900,posnorm,consumption,no,unchanged
,K_content_herb_tea,g K / 100 gram product,1.34100,1.49000,1.63900,posnorm,consumption,no,unchanged
,N_content_cocoa,g N / 100 gram product,1.32300,1.47000,1.61700,posnorm,consumption,,unchanged
Corn,N_yield_corn,kg N / FM dt,1.30500,1.45000,1.59500,posnorm,crop,no,unchanged
,K_leftover_winter_barley,kg K / FM dt,1.26900,1.41000,1.55100,posnorm,crop,no,unchanged
