"","item","group1","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"fresh_compost_crop_N1","21","local_feed",11,10000,160.595516022567,21.4303736639314,159.877921214143,160.221551238306,21.3099742431805,90.4532416161709,249.469382328001,159.01614071183,0.189697443814689,0.027560840451891,0.214303736639314
"fresh_compost_crop_N2","22","normal",11,10000,160.595516022567,21.4303736639314,159.877921214143,160.221551238306,21.3099742431805,90.4532416161709,249.469382328001,159.01614071183,0.189697443814689,0.027560840451891,0.214303736639314
"sewage_to_crop_N1","23","local_feed",12,10000,1901377.80751202,165343.406154255,1898982.79770772,1899688.88772546,166649.683327367,1311451.08745572,2727700.75171589,1416249.66426017,0.096801224002199,-0.011231231550233,1653.43406154255
"sewage_to_crop_N2","24","normal",12,10000,33459.6715464572,7346.20108665113,33103.7664192268,33280.5513713087,7218.16938483904,7910.06039967091,70689.8292531275,62779.7688534566,0.280669270505515,0.26013116773212,73.4620108665112
"vegetal_biogas_substrate_N1","25","local_feed",13,10000,1560397.03177326,165657.029432211,1558148.28207004,1559000.08547122,164981.418343236,999842.025897837,2179928.85125231,1180086.82535447,0.071359399471431,-0.048995858834223,1656.57029432211
"vegetal_biogas_substrate_N2","26","normal",13,10000,942.672477686195,781.056297998462,750.33113159816,838.94974979572,702.816612731882,0.199589820904311,6224.27381917773,6224.07422935683,1.29232962750183,2.01368470138902,7.81056297998462
"crop_cultivation_losses_N1","27","local_feed",14,10000,7959683.08566449,1315053.06639464,7940854.67354572,7949507.40479341,1318483.76540745,3108355.50851719,13006732.1145581,9898376.60604091,0.067100008279422,-0.006511578980501,13150.5306639464
"crop_cultivation_losses_N2","28","normal",14,10000,6081188.44274059,1321427.84846777,6056113.09859037,6070956.41071284,1321290.68199068,1113984.18126157,11020647.426663,9906663.24540143,0.06577218469628,0.001432872382615,13214.2784846777
"other_organic_fertilizer_export_N1","29","local_feed",15,10000,435296.441902672,26324.0766012082,435326.716727094,435187.840983956,26343.7774144126,319057.929264335,524603.513158759,205545.583894424,0.019591969105931,0.001576248359983,263.240766012082
"other_organic_fertilizer_export_N2","30","normal",15,10000,435296.441902672,26324.0766012082,435326.716727094,435187.840983956,26343.7774144126,319057.929264335,524603.513158759,205545.583894424,0.019591969105931,0.001576248359983,263.240766012082
"straw_N1","31","local_feed",16,10000,109409.996226974,12183.1751035897,108876.75778915,109130.55460442,12000.9880223784,73346.6225359362,160586.302729589,87239.6801936528,0.247709053888946,0.072824707788452,121.831751035897
"straw_N2","32","normal",16,10000,109409.996226974,12183.1751035897,108876.75778915,109130.55460442,12000.9880223784,73346.6225359362,160586.302729589,87239.6801936528,0.247709053888946,0.072824707788452,121.831751035897
"feed_crops_N1","33","local_feed",17,10000,4071457.07164947,562512.469298475,4052813.31978871,4062089.40661893,546547.857760603,1991442.90478184,6476550.68458955,4485107.77980771,0.18464939469155,0.151226197712393,5625.12469298475
"feed_crops_N2","34","normal",17,10000,4071457.07164947,562512.469298475,4052813.31978871,4062089.40661893,546547.857760603,1991442.90478184,6476550.68458955,4485107.77980771,0.18464939469155,0.151226197712393,5625.12469298475
"grassbased_feed_N1","35","local_feed",18,10000,3952364.31633579,236990.566222295,3947119.77127979,3949192.0496363,234640.120325558,3150168.71088435,4994320.39760278,1844151.68671843,0.145994617178614,0.003815612249056,2369.90566222295
"grassbased_feed_N2","36","normal",18,10000,3952364.31633579,236990.566222295,3947119.77127979,3949192.0496363,234640.120325558,3150168.71088435,4994320.39760278,1844151.68671843,0.145994617178614,0.003815612249056,2369.90566222295
"fruit_and_vegetable_N1","37","local_feed",19,10000,235955.227948268,8441.45406263505,235837.892203948,235862.885394828,8370.25199687616,204852.859031309,271139.82199969,66286.962968381,0.115146659085907,0.076868345632951,84.4145406263505
"fruit_and_vegetable_N2","38","normal",19,10000,235955.227948268,8441.45406263505,235837.892203948,235862.885394828,8370.25199687616,204852.859031309,271139.82199969,66286.962968381,0.115146659085907,0.076868345632951,84.4145406263505
"manure_as_biogas_substrate_N1","39","local_feed",20,10000,975946.906144283,124077.357824893,974135.389359509,973836.967793645,124932.524485676,565984.484096622,1508691.22472545,942706.740628828,0.175356244496679,0.045314759541759,1240.77357824893
"manure_as_biogas_substrate_N2","40","normal",20,10000,975946.906144283,124077.357824893,974135.389359509,973836.967793645,124932.524485676,565984.484096622,1508691.22472545,942706.740628828,0.175356244496679,0.045314759541759,1240.77357824893
"manure_to_crop_N1","41","local_feed",21,10000,3574590.69355928,573909.3822862,3596866.1383197,3579991.37202384,611922.611624529,1828925.44944223,5512850.63288067,3683925.18343844,-0.070952091447216,-0.390032102401821,5739.093822862
"manure_to_crop_N2","42","normal",21,10000,6974842.57489675,995880.836722999,6944750.4843696,6954386.50054356,1000107.51620502,3839076.21470999,11066160.7324929,7227084.51778291,0.20473500988304,-0.018978701697738,9958.80836722999
"manure_export_N1","43","local_feed",22,10000,0,0,0,0,0,0,0,0,NA,NA,0
"manure_export_N2","44","normal",22,10000,1878494.6429239,114127.936441941,1878023.67017027,1878224.99576119,114834.650085636,1456477.14130922,2327706.9580563,871229.81674708,0.029452972660696,-0.03166776115684,1141.27936441941
"animal_housing_and_storage_losses_N1","45","local_feed",23,10000,1043668.28205618,131087.732102968,1047174.04911148,1044197.47249495,140692.358843201,607910.280435327,1577294.78768006,969384.507244733,-0.01728463145287,-0.383572347886446,1310.87732102968
"animal_housing_and_storage_losses_N2","46","normal",23,10000,2253014.08270585,217660.236148159,2244763.16456319,2248760.31938155,217277.203110438,1575793.61648366,3108018.27234584,1532224.65586218,0.198098469329412,0.011044810924075,2176.60236148159
"slaughter_animal_N1","47","local_feed",24,10000,1696685.67959271,293386.919271881,1678948.22560212,1685312.39774971,287221.488512523,837350.588073196,3273008.6844556,2435658.0963824,0.408562334987164,0.257067235939792,2933.86919271881
"slaughter_animal_N2","48","normal",24,10000,3000559.33607333,511177.141413745,2957350.60520539,2978186.26434558,496716.302013194,1532593.81868798,5653355.24158002,4120761.42289204,0.483201297583579,0.411834257092658,5111.77141413745
